2026-03-22 00:16:43 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:43 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:43 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:43 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:43 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:43 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:43 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:43 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:43 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:43 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:43 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:43 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:44 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:44 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:44 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:48 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:53 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão commitada
